Scrollable Height,	 UIM/VIM Name,		 Type,	 UIM References,	 Dupliacte,	 Number of Scrollable Lists,	 Expandable List Ref,	 CADG Page,	
120,	 RegisterInformationProvider_duplicateCheckWizardView.vim,		 Modal,	 RegisterInformationProvider_duplicateCheckWizard.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/RegisterInformationProvider_duplicateCheckWizard.html,	
120,	 MDTCollaboration_editSharingView.vim,		 Modal,	 MDTCollaboration_editSharing.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/MDTCollaboration_editSharing.html,	
120,	 Financial_paymentReceivedSearchPerson.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Financial_paymentReceivedSearchPerson.html,	
120,	 RegisterServiceSupplier_duplicateCheckWizard.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/RegisterServiceSupplier_duplicateCheckWizard.html,	
125,	 ProviderManagement_searchCertification.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchCertification.html,	
125,	 Activity_inviteAttendeeToStandardActivity.vim,		 Modal,	 Activity_inviteAttendeeToStandardActivityFromView.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Activity_inviteAttendeeToStandardActivityFromView.html,	
125,	 ProviderManagement_viewMemberTrainingStatusHistory.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_viewMemberTrainingStatusHistory.html,	
125,	 AddAgreementWizard_clients.uim,		 NonModal,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/AddAgreementWizard_clients.html,	
125,	 ProviderManagement_searchProviderOfferingPopup.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchProviderOfferingPopup.html,	
125,	 ProviderManagement_searchProviderGroupsPopup.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchProviderGroupsPopup.html,	
125,	 ProviderManagement_searchProviderPopUp.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchProviderPopUp.html,	
125,	 PME_searchSOPopup.uim,		 N/A,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/PME_searchSOPopup.html,	
125,	 CaseAudit_ICCaseSampleManualSearch.uim,		 NonModal,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CaseAudit_ICCaseSampleManualSearch.html,	
125,	 ServicePlanDelivery_selectNewPlannedSubGoalType.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ServicePlanDelivery_selectNewPlannedSubGoalType.html,	
